tipo,seccion,dis_loc,mun,pan,pri,prd,pvem,pt,mc,morena_pna,morena,pna,pes,rsp,fxm,pan_pri_prd,pan_pri,pan_prd,pri_prd,cand_ind1,cand_ind2,cand_ind3,cand_ind4,cand_ind5,votos_validos,votos_can_nreg,votos_nulos,total_votos,lista_nominal,anio,contienda,c_pan_pri_prd,tc_pan_pri_prd,winner_cand,winner_part,morena_pna_pct,pan_pct,pri_pct,prd_pct,mc_pct,pvem_pct,pt_pct,pes_pct,rsp_pct,fxm_pct,tc_pan_pri_prd_pct,Xto,Xln,Xvt,votos_perf5_morena_pna,votos_perf4_morena_pna,perf5_morena_pna_pct,perf4_morena_pna_pct,turnout,pobfem_pct,pob65_mas_pct,pob15_64_pct,pob0_14_pct,p18ym_pb_pct,pea_pct,pea_f_pct,pea_m_pct,pcon_disc_pct,contrans_pct
4,91,3,COLIMA,8,127,2,23,7,36,133.0,,,6,3,1,1,1,0,0,,,,,,348,0,17,365,580,2021,presidente_municipal,2,139,tc_pan_pri_prd,morena_pna,36.43835616438356,2.191780821917808,34.794520547945204,0.547945205479452,9.863013698630136,6.301369863013699,1.9178082191780823,1.643835616438356,0.821917808219178,0.273972602739726,38.08219178082192,67.08,585.0,392.0,143.0,143.0,36.44,36.43835616438356,62.93,48.48,14.07,62.74,23.19,16.84,53.83,32.08,74.89,10.65,63.37
2,16,2,COLIMA,35,51,3,84,11,86,84.0,,,13,2,10,5,3,0,0,,,,,,387,0,5,392,608,2021,presidente_municipal,8,97,tc_pan_pri_prd,mc,21.428571428571427,8.928571428571429,13.010204081632654,0.7653061224489796,21.93877551020408,21.428571428571427,2.806122448979592,3.316326530612245,0.5102040816326531,2.5510204081632653,24.744897959183675,68.04,595.0,405.0,102.0,136.0,25.19,33.58,64.47,55.92,23.13,64.66,12.2,73.75,60.12,48.93,75.12,11.66,62.19
2,15,2,COLIMA,14,58,3,58,9,57,66.0,,,5,4,5,2,0,0,0,,,,,,281,0,11,292,491,2021,presidente_municipal,2,77,tc_pan_pri_prd,morena_pna,22.602739726027394,4.794520547945205,19.863013698630137,1.0273972602739725,19.52054794520548,19.863013698630137,3.0821917808219177,1.7123287671232876,1.36986301369863,1.7123287671232876,26.36986301369863,67.22,490.0,329.0,83.0,111.0,25.23,33.74,59.47,54.15,17.3,66.61,16.09,61.04,55.56,48.9,63.36,14.19,56.28
2,18,2,COLIMA,60,100,3,47,19,103,153.0,,,19,11,6,12,3,0,0,,,,,,536,0,16,552,835,2021,presidente_municipal,15,178,tc_pan_pri_prd,morena_pna,27.717391304347828,10.869565217391305,18.115942028985508,0.5434782608695652,18.65942028985507,8.51449275362319,3.4420289855072466,3.4420289855072466,1.992753623188405,1.0869565217391304,32.2463768115942,71.46,807.0,577.0,160.0,193.0,27.72,33.45,66.11,52.68,23.48,61.31,15.21,67.37,59.56,48.98,72.12,9.37,62.89
2,17,2,COLIMA,42,69,5,43,9,81,77.0,,,11,5,6,5,0,0,0,,,,,,353,0,12,365,658,2021,presidente_municipal,5,121,tc_pan_pri_prd,mc,21.095890410958905,11.506849315068491,18.90410958904109,1.36986301369863,22.19178082191781,11.78082191780822,2.4657534246575343,3.0136986301369864,1.36986301369863,1.643835616438356,33.15068493150685,64.75,644.0,417.0,105.0,140.0,25.18,33.57,55.47,50.86,15.37,72.13,12.5,63.65,57.89,54.92,60.9,9.91,50.23
2,20,1,COLIMA,79,143,3,104,21,160,101.0,,,5,0,9,11,1,0,0,,,,,,637,0,6,643,870,2021,presidente_municipal,12,237,tc_pan_pri_prd,mc,15.707620528771384,12.28615863141524,22.23950233281493,0.4665629860031104,24.883359253499226,16.174183514774494,3.265940902021773,0.7776049766718507,0.0,1.3996889580093312,36.85847589424572,78.79,817.0,644.0,162.0,216.0,25.16,33.54,73.91,55.51,29.2,59.4,11.4,82.89,52.24,47.07,58.72,6.52,85.12
2,19,2,COLIMA,69,144,2,109,10,138,135.0,,,8,1,9,15,3,0,0,,,,,,643,1,14,658,949,2021,presidente_municipal,18,233,tc_pan_pri_prd,pri,20.51671732522796,10.486322188449847,21.88449848024316,0.303951367781155,20.97264437689969,16.565349544072948,1.5197568389057752,1.21580547112462,0.1519756838905775,1.3677811550151977,35.410334346504555,72.99,949.0,692.0,174.0,232.0,25.14,33.53,69.34,54.6,24.41,61.22,13.44,74.58,51.27,47.78,55.5,9.41,80.25
2,22,6,COLIMA,28,50,4,72,9,113,121.0,,,7,4,6,4,1,0,0,,,,,,419,1,9,429,785,2021,presidente_municipal,5,87,morena_pna,morena_pna,28.205128205128204,6.526806526806526,11.655011655011654,0.9324009324009324,26.340326340326342,16.783216783216783,2.097902097902098,1.6317016317016315,0.9324009324009324,1.3986013986013983,20.27972027972028,61.71,764.0,472.0,133.0,158.0,28.21,33.47,54.65,52.93,12.85,73.64,12.85,63.95,57.39,50.12,65.7,4.21,53.92
2,21,1,COLIMA,120,146,4,108,13,167,135.0,,,14,4,5,9,0,0,0,,,,,,725,0,11,736,1062,2021,presidente_municipal,9,279,tc_pan_pri_prd,mc,18.342391304347828,16.304347826086957,19.83695652173913,0.5434782608695652,22.690217391304348,14.673913043478262,1.766304347826087,1.9021739130434785,0.5434782608695652,0.6793478260869565,37.90760869565217,72.11,1057.0,762.0,192.0,255.0,25.2,33.46,69.3,51.86,24.16,64.67,11.17,84.01,56.66,48.87,65.28,5.09,85.27
2,8,2,COLIMA,48,111,3,120,13,170,155.0,,,19,3,8,8,2,0,0,,,,,,660,0,16,676,1013,2021,presidente_municipal,10,172,tc_pan_pri_prd,mc,22.92899408284024,7.100591715976331,16.420118343195266,0.4437869822485207,25.14792899408284,17.75147928994083,1.9230769230769231,2.8106508875739644,0.4437869822485207,1.183431952662722,25.44378698224852,71.2,972.0,692.0,174.0,232.0,25.14,33.53,66.73,54.53,22.68,63.16,12.7,75.72,53.52,47.97,60.31,6.14,71.26
